Map05: The Citidal
5:80:50000:level5:2:7
48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:63:180:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:9:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:63:180:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:2:0:0,0:0:0:0:0,0:0:0:0:0,0:0:31:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,60:3:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:29:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:29:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,60:3:0:0:0,12:26:53:0:8,0:0:58:0:0,0:0:58:0:0,0:0:31:0:0,0:0:58:0:0,0:0:58:0:0,0:0:58:0:0,0:0:0:0:0,0:0:54:180:8,0:0:0:0:0,0:0:0:0:0,48:15:0:0:0,0:0:57:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:2:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,21:18:37:270:0,0:0:61:45:0,0:0:43:0:0,24:27:37:270:0,60:3:0:0:0,0:0:0:0:0,0:0:42:0:0,0:0:37:0:0,60:27:0:0:0,0:0:2:0:0,0:0:0:0:0,0:0:2:0:0,60:27:0:0:0,0:0:37:0:0,0:0:42:0:0,0:0:0:0:0,60:3:0:0:0,0:0:30:0:0,0:0:58:0:0,0:0:39:0:0,0:0:2:0:0,0:0:32:45:0,0:0:32:0:0,0:0:32:0:0,0:0:32:45:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:19:180:0,0:0:43:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,60:3:0:0:0,60:3:0:0:0,60:3:0:0:0,60:3:0:0:0,60:3:0:0:0,60:3:0:0:0,60:3:0:0:0,60:3:0:0:0,60:3:0:0:0,60:3:0:0:0,60:3:0:0:0,60:3:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:58:0:0,0:0:29:0:0,0:0:18:270:0,0:0:35:0:0,0:0:18:270:0,0:0:29:0:0,0:0:58:180:0,0:0:0:0:0,0:0:0:0:0,200:3:0:0:0,150:22:0:0:0,200:3:0:0:0,150:22:0:0:0,200:3:0:0:0,150:22:0:0:0,200:3:0:0:0,150:22:0:0:0,200:3:0:0:0,150:22:0:0:0,200:3:0:0:0,150:22:0:0:0,200:3:0:0:0,200:3:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:16:0:0,0:0:0:0:0,4:29:67:0:3,24:1:0:0:0,4:29:67:0:4,0:0:16:0:0,4:28:66:0:5,24:1:0:0:0,0:0:0:0:0,24:1:0:0:0,4:28:66:0:3,60:3:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:29:0:0,0:0:2:0:0,0:0:0:0:0,0:0:2:0:0,0:0:29:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,150:22:0:0:0,0:0:25:0:0,12:2:30:0:0,0:0:25:0:0,12:2:30:0:0,0:0:0:0:0,0:0:2:0:0,0:0:29:0:0,0:0:43:0:0,0:0:29:0:0,0:0:16:180:0,0:0:36:0:0,0:0:37:0:0,48:4:0:0:0,0:0:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:44:0:0,36:27:0:0:0,0:0:0:0:0,36:27:0:0:0,0:0:36:0:0,36:27:0:0:0,24:1:0:0:0,36:27:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,60:3:0:0:0,0:0:0:0:0,0:0:43:0:0,0:0:36:0:0,60:27:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,60:27:0:0:0,0:0:37:0:0,0:0:42:0:0,0:0:0:0:0,200:3:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:44:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:56:0:0,0:0:36:0:0,0:0:37:0:0,60:3:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,4:28:66:0:6,24:1:0:0:0,0:0:3:0:0,24:1:0:0:0,0:0:41:0:0,24:1:0:0:0,4:28:66:0:4,24:1:0:0:0,0:0:16:90:0,36:27:0:0:0,24:1:0:0:0,60:3:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:19:0:0,0:0:29:0:0,0:0:0:0:0,0:0:58:270:0,0:0:0:0:0,0:0:29:0:0,0:0:19:180:0,0:0:0:0:0,0:0:0:0:0,150:22:0:0:0,0:0:0:0:0,0:0:16:135:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:18:180:0,0:0:56:0:0,0:0:36:0:0,0:0:37:0:0,48:4:0:0:0,0:0:0:0:0,0:100:0:0:0,
48:1:0:0:0,24:1:0:0:0,36:27:0:0:0,0:0:0:0:0,36:27:0:0:0,24:1:0:0:0,36:27:0:0:0,0:0:0:0:0,36:27:0:0:0,0:0:54:90:9,0:0:0:0:0,0:0:56:0:0,60:3:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:29:0:0,0:0:16:270:0,0:0:3:0:0,0:0:16:270:0,0:0:29:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,200:3:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:36:0:0,0:0:37:0:0,60:3:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,12:26:53:0:9,24:1:0:0:0,0:0:34:0:7,0:0:16:0:0,0:0:2:0:0,0:0:19:0:0,0:0:0:0:0,24:1:0:0:0,0:0:0:0:0,24:1:0:0:0,0:0:37:0:0,60:3:0:0:0,0:0:0:0:0,0:0:42:0:0,0:0:37:0:0,60:27:0:0:0,0:0:58:270:0,0:0:0:0:0,0:0:58:270:0,60:27:0:0:0,0:0:36:0:0,0:0:43:0:0,0:0:0:0:0,150:22:0:0:0,0:0:3:0:0,0:0:0:0:0,0:0:16:135:0,0:0:0:0:0,60:2:0:0:0,60:3:0:0:0,60:2:0:0:0,60:3:0:0:0,72:1:0:0:0,72:1:0:0:0,72:1:0:0:0,72:1:0:0:0,48:4:0:0:0,0:0:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:19:90:0,36:27:0:0:0,24:1:0:0:0,36:27:0:0:0,24:1:0:0:0,36:27:0:0:0,24:1:0:0:0,36:27:0:0:0,0:0:0:0:0,36:27:0:0:0,24:1:0:0:0,60:3:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:58:0:0,0:0:29:0:0,0:0:0:0:0,0:0:3:0:0,0:0:0:0:0,0:0:29:0:0,0:0:58:180:0,0:0:0:0:0,0:0:0:0:0,200:3:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,60:2:16:180:0,60:2:29:0:0,60:2:0:0:0,0:0:2:0:0,0:0:0:0:0,0:0:0:0:0,0:0:3:0:0,0:0:29:0:0,60:3:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:0:0:0,24:1:0:0:0,0:0:42:0:0,0:0:36:0:0,24:1:0:0:0,0:0:27:0:0,24:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:19:0:0,0:0:0:0:0,60:7:11:0:0,0:0:0:0:0,0:0:0:0:0,0:0:54:180:9,0:0:29:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:29:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,60:7:11:0:0,0:0:0:0:0,0:0:19:180:0,0:0:19:180:0,60:8:10:0:0,60:2:2:0:0,60:2:0:0:0,60:2:0:0:0,60:8:10:0:0,0:0:19:0:0,0:0:0:0:0,0:0:17:180:0,0:0:4:0:0,48:4:0:0:0,0:0:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:16:0:0,0:0:0:0:0,0:0:54:180:9,0:0:19:90:0,24:1:0:0:0,0:0:20:0:0,24:1:0:0:0,0:0:0:0:0,36:27:0:0:0,24:1:0:0:0,24:1:0:0:0,60:3:0:0:0,0:0:0:0:0,0:0:42:0:0,0:0:37:0:0,60:27:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,60:27:0:0:0,0:0:36:0:0,0:0:43:0:0,0:0:0:0:0,200:3:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,60:2:16:180:0,60:3:29:0:0,60:2:0:0:0,0:0:2:0:0,0:0:0:0:0,0:0:0:0:0,0:0:3:0:0,0:0:29:0:0,60:3:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,24:1:65:270:0,24:1:65:270:0,36:27:0:0:0,0:0:0:0:0,24:1:0:0:0,24:13:14:45:0,36:27:0:0:0,0:0:0:0:0,24:1:0:0:0,0:0:57:0:0,0:0:16:90:0,60:3:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:19:0:0,0:0:29:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:17:29:0:0,0:0:19:180:0,0:0:0:0:0,0:0:0:0:0,150:22:0:0:0,0:0:3:0:0,0:0:0:0:0,0:0:16:225:0,0:0:0:0:0,60:2:0:0:0,60:3:0:0:0,60:2:0:0:0,60:3:0:0:0,72:1:0:0:0,72:1:0:0:0,72:1:0:0:0,72:1:0:0:0,48:4:0:0:0,0:0:0:0:0,0:100:0:0:0,
48:1:64:270:0,0:0:2:0:0,0:0:0:0:0,0:0:0:0:0,4:29:67:0:6,0:0:0:0:0,0:0:16:0:0,24:1:0:0:0,0:0:0:0:0,24:1:0:0:0,0:0:44:0:0,0:0:0:0:0,60:3:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:29:0:0,0:0:0:0:0,0:0:62:45:0,0:0:0:0:0,0:0:29:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,200:3:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:31:0:0,0:0:31:0:0,0:0:31:0:0,0:0:31:0:0,0:0:31:0:0,0:0:31:0:0,0:0:2:0:0,60:3:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:64:270:0,36:27:0:0:0,0:0:62:0:7,36:27:0:0:0,24:1:0:0:0,24:1:0:0:0,24:1:0:0:0,36:27:0:0:0,0:0:0:0:0,36:27:0:0:0,24:1:0:0:0,0:0:0:0:0,60:3:0:0:0,0:0:0:0:0,0:0:43:0:0,0:0:36:0:0,60:17:0:0:0,0:0:17:270:0,0:0:56:45:0,0:0:17:270:0,60:17:0:0:0,0:0:37:0:0,0:0:42:0:0,0:0:0:0:0,150:22:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:31:0:0,0:0:31:0:0,0:0:31:0:0,0:0:19:180:0,0:0:36:0:0,0:0:31:0:0,0:0:18:180:0,0:0:38:0:0,48:4:0:0:0,0:0:0:0:0,0:100:0:0:0,
48:1:0:0:0,24:1:0:0:0,0:0:19:270:0,24:1:0:0:0,0:0:37:0:0,0:0:16:0:0,0:0:0:0:0,0:0:0:0:0,0:0:19:270:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,60:3:0:0:0,0:0:0:0:0,4:29:67:0:2,0:0:0:0:0,0:0:29:0:0,0:0:56:45:0,0:0:55:45:0,0:0:56:45:0,0:0:29:0:0,0:0:0:0:0,4:28:66:0:1,0:0:0:0:0,200:3:0:0:0,0:0:0:0:0,0:0:16:225:0,0:0:0:0:0,0:0:0:0:0,0:0:31:0:0,0:0:37:0:0,0:0:31:0:0,0:0:31:0:0,0:0:31:0:0,0:0:31:0:0,0:0:31:0:0,0:0:28:0:0,60:3:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,4:28:66:0:7,0:0:37:0:0,24:1:0:0:0,0:0:21:0:0,36:27:0:0:0,4:29:67:0:7,36:27:0:0:0,24:1:0:0:0,0:0:0:0:0,0:0:43:0:0,4:29:67:0:5,60:3:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:61:45:0,0:0:3:0:0,0:0:2:0:0,0:0:3:0:0,0:0:61:45:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,150:22:0:0:0,0:0:42:0:0,0:0:43:0:0,0:0:42:0:0,0:0:0:0:0,0:0:0:0:0,0:0:31:0:0,0:0:31:0:0,0:0:31:0:0,0:0:31:0:0,0:0:37:0:0,0:0:31:0:0,0:0:2:0:0,48:4:0:0:0,0:0:0:0:0,0:100:0:0:0,
48:1:0:0:0,60:3:0:0:0,60:3:0:0:0,60:3:0:0:0,60:3:0:0:0,60:3:0:0:0,60:3:0:0:0,60:3:0:0:0,60:3:0:0:0,60:3:0:0:0,60:3:0:0:0,60:3:0:0:0,60:3:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,24:9:12:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,48:1:0:0:0,200:3:0:0:0,150:22:0:0:0,200:3:0:0:0,150:22:0:0:0,200:3:0:0:0,150:22:0:0:0,200:3:0:0:0,150:22:0:0:0,200:3:0:0:0,150:22:0:0:0,200:3:0:0:0,150:22:0:0:0,200:3:0:0:0,200:3:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,24:24:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:0:16:270:0,48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:50:45:0,0:0:0:0:0,2:17:58:135:0,4:17:58:135:0,8:17:62:45:0,48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:27:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:37:0:0,0:0:0:0:0,0:0:19:135:0,0:0:0:0:0,0:0:19:135:0,0:0:0:0:0,24:24:0:0:0,36:17:0:0:0,24:24:0:0:0,0:0:0:0:0,48:1:0:0:0,24:10:13:0:0,48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:19:135:0,0:0:0:0:0,0:0:0:0:0,2:17:0:0:0,4:17:58:135:0,48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:0:0:0,0:0:50:0:0,0:0:24:0:0,0:0:50:0:0,0:0:0:0:0,0:0:37:0:0,12:15:30:0:0,0:0:37:0:0,0:0:35:0:0,0:0:16:135:0,0:0:1:0:0,0:0:0:0:0,0:0:0:0:0,24:24:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:0:49:45:0,48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:37:135:0,24:18:0:0:0,0:0:37:135:0,0:0:0:0:0,0:0:0:0:0,2:17:58:135:0,48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:37:0:0,0:0:0:0:0,0:0:0:0:0,0:0:19:135:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,24:11:14:0:0,48:1:0:0:0,0:0:0:0:0,0:0:36:135:0,24:18:0:0:0,48:27:0:0:0,24:18:0:0:0,0:0:36:135:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:18:90:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,72:1:0:0:0,0:0:47:0:0,48:1:0:0:0,0:0:45:270:0,48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:37:135:0,24:18:0:0:0,0:0:37:135:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:1:0:0:0,0:100:0:0:0,
