Map04: The Citidal
3:90:15000:level4:3:7
48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:9:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,0:100:0:0:0:0:0:0,
48:1:0:0:0::0:0,60:3:0:0:0::0:0,60:3:0:0:0::0:0,60:3:0:0:0::0:0,60:3:0:0:0::0:0,60:3:0:0:0::0:0,60:3:0:0:0::0:0,60:3:0:0:0::0:0,60:3:0:0:0::0:0,60:3:0:0:0::0:0,60:3:0:0:0::0:0,60:3:0:0:0::0:0,60:3:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:19:270:0::0:12,0:0:29:0:0::0:0,0:0:18:270:0::0:12,0:0:35:0:0::0:0,0:0:18:270:0::0:12,0:0:29:0:0::0:0,0:0:19:270:0::0:12,0:0:0:0:0::0:0,0:0:0:0:0::0:0,60:3:0:0:0::0:0,60:3:0:0:0::0:0,60:3:0:0:0::0:0,60:3:0:0:0::0:0,60:3:0:0:0::0:0,60:3:0:0:0::0:0,60:3:0:0:0::0:0,60:3:0:0:0::0:0,60:3:0:0:0::0:0,60:3:0:0:0::0:0,60:3:0:0:0::0:0,60:3:0:0:0::0:0,60:3:0:0:0::0:0,60:3:0:0:0::0:0,48:1:0:0:0::0:0,0:100:0:0:0:0:0:0,
48:1:0:0:0::0:0,0:0:16:0:0::0:0,0:0:0:0:0::0:0,0:0:18:90:0::0:0,12:1:0:0:0::0:0,0:0:0:0:0::0:0,0:0:16:0:0::0:0,0:0:16:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,12:1:0:0:0::0:0,0:0:18:90:0::0:0,60:3:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:29:0:0::0:0,0:0:2:0:0::0:0,0:0:18:270:0::0:12,0:0:2:0:0::0:0,0:0:29:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,60:3:0:0:0::0:0,0:0:25:0:0::0:0,12:2:30:0:0::0:0,0:0:25:0:0::0:0,12:2:30:0:0::0:0,0:0:0:0:0::0:0,0:0:2:0:0::0:0,0:0:29:0:0::0:0,0:0:43:0:0::0:0,0:0:29:0:0::0:0,0:0:16:180:0::0:0,0:0:36:0:0::0:0,0:0:37:0:0::0:0,48:4:0:0:0::0:0,0:0:0:0:0::0:0,0:100:0:0:0:0:0:0,
48:1:0:0:0::0:0,0:0:44:0:0::0:0,12:1:0:0:0::0:0,0:0:0:0:0::0:0,12:1:0:0:0::0:0,0:0:36:0:0::0:0,12:1:0:0:0::0:0,12:1:0:0:0::0:0,12:1:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,60:3:0:0:0::0:0,0:0:0:0:0::0:0,0:0:43:0:0::0:0,0:0:36:0:0::0:0,60:1:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,60:1:0:0:0::0:0,0:0:37:0:0::0:0,0:0:42:0:0::0:0,0:0:0:0:0::0:0,60:3:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:44:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:36:0:0::0:0,0:0:37:0:0::0:0,60:3:0:0:0::0:0,48:1:0:0:0::0:0,0:100:0:0:0:0:0:0,
48:1:0:0:0::0:0,0:0:34:0:0::0:0,12:1:0:0:0::0:0,0:0:3:0:0::0:0,12:1:0:0:0::0:0,0:0:41:0:0::0:0,12:1:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:16:90:0::0:0,12:1:0:0:0::0:0,12:1:0:0:0::0:0,60:3:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:19:270:0::0:12,0:0:29:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:29:0:0::0:0,0:0:19:270:0::0:12,0:0:0:0:0::0:0,0:0:0:0:0::0:0,60:3:0:0:0::0:0,0:0:0:0:0::0:0,0:0:16:135:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:18:180:0::0:0,0:0:0:0:0::0:0,0:0:36:0:0::0:0,0:0:37:0:0::0:0,48:4:0:0:0::0:0,0:0:0:0:0::0:0,0:100:0:0:0:0:0:0,
48:1:0:0:0::0:0,12:1:0:0:0::0:0,12:1:0:0:0::0:0,0:0:0:0:0::0:0,12:1:0:0:0::0:0,12:1:0:0:0::0:0,12:1:0:0:0::0:0,0:0:0:0:0::0:0,12:1:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,60:3:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:29:0:0::0:0,0:0:16:270:0::0:12,0:0:3:0:0::0:0,0:0:16:270:0::0:12,0:0:29:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,60:3:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:16:180:0::0:0,0:0:36:0:0::0:0,0:0:37:0:0::0:0,60:3:0:0:0::0:0,48:1:0:0:0::0:0,0:100:0:0:0:0:0:0,
48:1:0:0:0::0:0,0:0:6:0:0::0:0,12:1:0:0:0::0:0,0:0:0:0:0::0:0,0:0:16:0:0::0:0,0:0:2:0:0::0:0,0:0:19:0:0::0:0,0:0:0:0:0::0:0,12:1:0:0:0::0:0,0:0:0:0:0::0:0,12:1:0:0:0::0:0,0:0:37:0:0::0:0,60:3:0:0:0::0:0,0:0:0:0:0::0:0,0:0:42:0:0::0:0,0:0:37:0:0::0:0,60:1:0:0:0::0:0,0:0:16:270:0::0:12,0:0:16:270:0::0:12,0:0:16:270:0::0:12,60:1:0:0:0::0:0,0:0:36:0:0::0:0,0:0:43:0:0::0:0,0:0:0:0:0::0:0,60:3:0:0:0::0:0,0:0:3:0:0::0:0,0:0:0:0:0::0:0,0:0:16:135:0::0:0,0:0:0:0:0::0:0,60:2:0:0:0::0:0,60:3:0:0:0::0:0,60:2:0:0:0::0:0,60:3:0:0:0::0:0,72:1:0:0:0::0:0,72:1:0:0:0::0:0,72:1:0:0:0::0:0,72:1:0:0:0::0:0,48:4:0:0:0::0:0,0:0:0:0:0::0:0,0:100:0:0:0:0:0:0,
48:1:0:0:0::0:0,0:0:19:90:0::0:0,12:1:0:0:0::0:0,12:1:0:0:0::0:0,12:1:0:0:0::0:0,12:1:0:0:0::0:0,12:1:0:0:0::0:0,12:1:0:0:0::0:0,12:1:0:0:0::0:0,0:0:0:0:0::0:0,12:1:0:0:0::0:0,12:1:0:0:0::0:0,60:3:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:19:270:0::0:12,0:0:29:0:0::0:0,0:0:0:0:0::0:0,0:0:3:0:0::0:0,0:0:0:0:0::0:0,0:0:29:0:0::0:0,0:0:19:270:0::0:12,0:0:0:0:0::0:0,0:0:0:0:0::0:0,60:3:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,60:2:16:180:0::0:0,60:2:29:0:0::0:0,60:2:0:0:0::0:0,0:0:2:0:0::0:0,0:0:0:0:0::0:0,0:0:18:180:0::0:0,0:0:3:0:0::0:0,0:0:29:0:0::0:0,60:3:0:0:0::0:0,48:1:0:0:0::0:0,0:100:0:0:0:0:0:0,
48:1:0:0:0::0:0,0:0:0:0:0::0:0,12:1:0:0:0::0:0,0:0:42:0:0::0:0,0:0:36:0:0::0:0,12:1:0:0:0::0:0,0:0:27:0:0::0:0,12:1:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:19:0:0::0:0,0:0:0:0:0::0:0,12:7:11:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:29:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:29:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,12:7:11:0:0::0:0,0:0:0:0:0::0:0,0:0:19:180:0::0:0,0:0:19:180:0::0:0,12:8:10:0:0::0:0,60:2:2:0:0::0:0,60:2:0:0:0::0:0,60:2:19:180:0::0:0,12:8:10:0:0::0:0,0:0:19:0:0::0:0,0:0:0:0:0::0:0,0:0:17:180:0::0:0,0:0:4:0:0::0:0,48:4:0:0:0::0:0,0:0:0:0:0::0:0,0:100:0:0:0:0:0:0,
48:1:0:0:0::0:0,0:0:16:0:0::0:0,0:0:0:0:0::0:0,0:0:18:0:0::0:0,0:0:19:90:0::0:0,12:1:0:0:0::0:0,0:0:20:0:0::0:0,12:1:0:0:0::0:0,0:0:0:0:0::0:0,12:1:0:0:0::0:0,12:1:0:0:0::0:0,12:1:0:0:0::0:0,60:3:0:0:0::0:0,0:0:0:0:0::0:0,0:0:42:0:0::0:0,0:0:37:0:0::0:0,60:1:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,60:1:0:0:0::0:0,0:0:36:0:0::0:0,0:0:43:0:0::0:0,0:0:0:0:0::0:0,60:3:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,60:2:16:180:0::0:0,60:3:29:0:0::0:0,60:2:0:0:0::0:0,0:0:2:0:0::0:0,0:0:0:0:0::0:0,0:0:18:180:0::0:0,0:0:3:0:0::0:0,0:0:29:0:0::0:0,60:3:0:0:0::0:0,48:1:0:0:0::0:0,0:100:0:0:0:0:0:0,
48:1:0:0:0::0:0,12:1:0:0:0::0:0,12:1:0:0:0::0:0,12:1:0:0:0::0:0,0:0:0:0:0::0:0,12:1:0:0:0::0:0,12:13:11:0:0::0:0,12:1:0:0:0::0:0,0:0:0:0:0::0:0,12:1:0:0:0::0:0,0:0:44:0:0::0:0,0:0:16:90:0::0:0,60:3:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:19:270:0::0:12,0:0:29:0:0::0:0,0:0:17:270:0::0:0,0:0:0:0:0::0:0,0:0:17:270:0::0:0,0:0:29:0:0::0:0,0:0:19:270:0::0:12,0:0:0:0:0::0:0,0:0:0:0:0::0:0,60:3:0:0:0::0:0,0:0:3:0:0::0:0,0:0:0:0:0::0:0,0:0:16:225:0::0:0,0:0:0:0:0::0:0,60:2:0:0:0::0:0,60:3:0:0:0::0:0,60:2:0:0:0::0:0,60:3:0:0:0::0:0,72:1:0:0:0::0:0,72:1:0:0:0::0:0,72:1:0:0:0::0:0,72:1:0:0:0::0:0,48:4:0:0:0::0:0,0:0:0:0:0::0:0,0:100:0:0:0:0:0:0,
