Map05: The Citidal
5:80:50000:level5
48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:63:180,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:9:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:63:180,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,0:100:0:0,
48:1:0:0,0:0:2:0,0:0:0:0,0:0:0:0,0:0:31:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,60:3:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:29:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:29:0,0:0:0:0,0:0:0:0,0:0:0:0,60:3:0:0,3:5:5:0,0:0:58:0,0:0:58:0,0:0:31:0,0:0:58:0,0:0:58:0,0:0:58:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,48:15:0:0,0:0:57:0,48:1:0:0,0:100:0:0,
48:1:0:0,0:0:2:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,21:18:37:270,0:0:61:45,0:0:43:0,24:27:37:270,60:3:0:0,0:0:0:0,0:0:42:0,0:0:37:0,60:27:0:0,0:0:2:0,0:0:0:0,0:0:2:0,60:27:0:0,0:0:37:0,0:0:42:0,0:0:0:0,60:3:0:0,0:0:30:0,0:0:58:0,0:0:39:0,0:0:2:0,0:0:32:45,0:0:32:0,0:0:32:0,0:0:32:45,0:0:0:0,0:0:0:0,0:0:0:0,0:0:19:180,0:0:43:0,48:1:0:0,0:100:0:0,
48:1:0:0,60:3:0:0,60:3:0:0,60:3:0:0,60:3:0:0,60:3:0:0,60:3:0:0,60:3:0:0,60:3:0:0,60:3:0:0,60:3:0:0,60:3:0:0,60:3:0:0,0:0:0:0,0:0:0:0,0:0:58:0,0:0:29:0,0:0:18:270,0:0:35:0,0:0:18:270,0:0:29:0,0:0:58:180,0:0:0:0,0:0:0:0,200:3:0:0,150:22:0:0,200:3:0:0,150:22:0:0,200:3:0:0,150:22:0:0,200:3:0:0,150:22:0:0,200:3:0:0,150:22:0:0,200:3:0:0,150:22:0:0,200:3:0:0,200:3:0:0,48:1:0:0,0:100:0:0,
48:1:0:0,0:0:16:0,0:0:0:0,0:0:0:0,24:1:0:0,0:0:0:0,0:0:16:0,0:0:0:0,36:4:20:45,0:0:0:0,24:1:0:0,0:0:0:0,60:3:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:29:0,0:0:2:0,0:0:0:0,0:0:2:0,0:0:29:0,0:0:0:0,0:0:0:0,0:0:0:0,150:22:0:0,0:0:25:0,12:2:30:0,0:0:25:0,12:2:30:0,0:0:0:0,0:0:2:0,0:0:29:0,0:0:43:0,0:0:29:0,0:0:16:180,0:0:36:0,0:0:37:0,48:4:0:0,0:0:0:0,0:100:0:0,
48:1:0:0,0:0:44:0,36:27:0:0,0:0:0:0,36:27:0:0,0:0:36:0,36:27:0:0,24:1:0:0,36:27:0:0,0:0:0:0,0:0:0:0,0:0:0:0,60:3:0:0,0:0:0:0,0:0:43:0,0:0:36:0,60:27:0:0,0:0:0:0,0:0:0:0,0:0:0:0,60:27:0:0,0:0:37:0,0:0:42:0,0:0:0:0,200:3:0:0,0:0:0:0,0:0:0:0,0:0:44:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:56:0,0:0:36:0,0:0:37:0,60:3:0:0,48:1:0:0,0:100:0:0,
48:1:0:0,0:0:34:0,24:1:0:0,0:0:3:0,24:1:0:0,0:0:41:0,24:1:0:0,0:0:0:0,36:4:20:45,0:0:16:90,36:27:0:0,24:1:0:0,60:3:0:0,0:0:0:0,0:0:0:0,0:0:19:0,0:0:29:0,0:0:0:0,0:0:58:270,0:0:0:0,0:0:29:0,0:0:19:180,0:0:0:0,0:0:0:0,150:22:0:0,0:0:0:0,0:0:16:135,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:18:180,0:0:56:0,0:0:36:0,0:0:37:0,48:4:0:0,0:0:0:0,0:100:0:0,
48:1:0:0,24:1:0:0,36:27:0:0,0:0:0:0,36:27:0:0,24:1:0:0,36:27:0:0,0:0:0:0,36:27:0:0,0:0:54:90,0:0:0:0,0:0:56:0,60:3:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:29:0,0:0:16:270,0:0:3:0,0:0:16:270,0:0:29:0,0:0:0:0,0:0:0:0,0:0:0:0,200:3:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:36:0,0:0:37:0,60:3:0:0,48:1:0:0,0:100:0:0,
48:1:0:0,12:26:53:270,24:1:0:0,0:0:0:0,0:0:16:0,0:0:2:0,0:0:19:0,0:0:0:0,24:1:0:0,0:0:0:0,24:1:0:0,0:0:37:0,60:3:0:0,0:0:0:0,0:0:42:0,0:0:37:0,60:27:0:0,0:0:58:270,0:0:0:0,0:0:58:270,60:27:0:0,0:0:36:0,0:0:43:0,0:0:0:0,150:22:0:0,0:0:3:0,0:0:0:0,0:0:16:135,0:0:0:0,60:2:0:0,60:3:0:0,60:2:0:0,60:3:0:0,72:1:0:0,72:1:0:0,72:1:0:0,72:1:0:0,48:4:0:0,0:0:0:0,0:100:0:0,
48:1:0:0,0:0:19:90,36:27:0:0,24:1:0:0,36:27:0:0,24:1:0:0,36:27:0:0,24:1:0:0,36:27:0:0,0:0:0:0,36:27:0:0,24:1:0:0,60:3:0:0,0:0:0:0,0:0:0:0,0:0:58:0,0:0:29:0,0:0:0:0,0:0:3:0,0:0:0:0,0:0:29:0,0:0:58:180,0:0:0:0,0:0:0:0,200:3:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,60:2:16:180,60:2:29:0,60:2:0:0,0:0:2:0,0:0:0:0,0:0:0:0,0:0:3:0,0:0:29:0,60:3:0:0,48:1:0:0,0:100:0:0,
48:1:0:0,0:0:0:0,24:1:0:0,0:0:42:0,0:0:36:0,24:1:0:0,0:0:27:0,24:1:0:0,0:0:0:0,0:0:0:0,0:0:19:0,0:0:0:0,60:7:11:0,0:0:0:0,0:0:0:0,0:0:54:180,0:0:29:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:29:0,0:0:0:0,0:0:0:0,0:0:0:0,60:7:11:0,0:0:0:0,0:0:19:180,0:0:19:180,60:8:10:0,60:2:2:0,60:2:0:0,60:2:0:0,60:8:10:0,0:0:19:0,0:0:0:0,0:0:17:180,0:0:4:0,48:4:0:0,0:0:0:0,0:100:0:0,
48:1:0:0,0:0:16:0,0:0:0:0,0:0:54:180,0:0:19:90,24:1:0:0,0:0:20:0,24:1:0:0,0:0:0:0,36:27:0:0,24:1:0:0,24:1:0:0,60:3:0:0,0:0:0:0,0:0:42:0,0:0:37:0,60:27:0:0,0:0:0:0,0:0:0:0,0:0:0:0,60:27:0:0,0:0:36:0,0:0:43:0,0:0:0:0,200:3:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,60:2:16:180,60:3:29:0,60:2:0:0,0:0:2:0,0:0:0:0,0:0:0:0,0:0:3:0,0:0:29:0,60:3:0:0,48:1:0:0,0:100:0:0,
48:1:0:0,24:1:65:270,24:1:65:270,36:27:0:0,0:0:0:0,24:1:0:0,24:13:14:45,36:27:0:0,0:0:0:0,24:1:0:0,0:0:57:0,0:0:16:90,60:3:0:0,0:0:0:0,0:0:0:0,0:0:19:0,0:0:29:0,0:0:0:0,0:0:0:0,0:0:0:0,0:17:29:0,0:0:19:180,0:0:0:0,0:0:0:0,150:22:0:0,0:0:3:0,0:0:0:0,0:0:16:225,0:0:0:0,60:2:0:0,60:3:0:0,60:2:0:0,60:3:0:0,72:1:0:0,72:1:0:0,72:1:0:0,72:1:0:0,48:4:0:0,0:0:0:0,0:100:0:0,
48:1:64:270,0:0:2:0,0:0:54:270,0:0:0:0,0:0:0:0,0:0:0:0,0:0:16:0,36:4:20:45,0:0:0:0,24:1:0:0,0:0:44:0,0:0:0:0,60:3:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:29:0,0:0:0:0,0:0:62:45,0:0:0:0,0:0:29:0,0:0:0:0,0:0:0:0,0:0:0:0,200:3:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:31:0,0:0:31:0,0:0:31:0,0:0:31:0,0:0:31:0,0:0:31:0,0:0:2:0,60:3:0:0,48:1:0:0,0:100:0:0,
48:1:64:270,36:27:0:0,0:0:0:0,36:27:0:0,24:1:0:0,24:1:0:0,24:1:0:0,36:27:0:0,0:0:0:0,36:27:0:0,24:1:0:0,0:0:0:0,60:3:0:0,0:0:0:0,0:0:43:0,0:0:36:0,60:17:0:0,0:0:17:270,0:0:56:45,0:0:17:270,60:17:0:0,0:0:37:0,0:0:42:0,0:0:0:0,150:22:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:31:0,0:0:31:0,0:0:31:0,0:0:19:180,0:0:36:0,0:0:31:0,0:0:18:180,0:0:38:0,48:4:0:0,0:0:0:0,0:100:0:0,
48:1:0:0,24:1:0:0,0:0:19:270,24:1:0:0,0:0:37:0,0:0:16:0,0:0:0:0,0:0:0:0,0:0:19:270,0:0:0:0,0:0:0:0,0:0:0:0,60:3:0:0,0:0:0:0,0:0:54:270,0:0:0:0,0:0:29:0,0:0:56:45,0:0:55:45,0:0:56:45,0:0:29:0,0:0:0:0,0:0:0:0,0:0:0:0,200:3:0:0,0:0:0:0,0:0:16:225,0:0:0:0,0:0:0:0,0:0:31:0,0:0:37:0,0:0:31:0,0:0:31:0,0:0:31:0,0:0:31:0,0:0:31:0,0:0:28:0,60:3:0:0,48:1:0:0,0:100:0:0,
48:1:0:0,0:0:62:270,0:0:37:0,24:1:0:0,0:0:21:0,36:27:0:0,0:0:29:0,36:27:0:0,24:1:0:0,0:0:0:0,0:0:43:0,0:0:0:0,60:3:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:61:45,0:0:3:0,0:0:2:0,0:0:3:0,0:0:61:45,0:0:0:0,0:0:0:0,0:0:0:0,150:22:0:0,0:0:42:0,0:0:43:0,0:0:42:0,0:0:0:0,0:0:0:0,0:0:31:0,0:0:31:0,0:0:31:0,0:0:31:0,0:0:37:0,0:0:31:0,0:0:2:0,48:4:0:0,0:0:0:0,0:100:0:0,
48:1:0:0,60:3:0:0,60:3:0:0,60:3:0:0,60:3:0:0,60:3:0:0,60:3:0:0,60:3:0:0,60:3:0:0,60:3:0:0,60:3:0:0,60:3:0:0,60:3:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,24:9:12:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,200:3:0:0,150:22:0:0,200:3:0:0,150:22:0:0,200:3:0:0,150:22:0:0,200:3:0:0,150:22:0:0,200:3:0:0,150:22:0:0,200:3:0:0,150:22:0:0,200:3:0:0,200:3:0:0,48:1:0:0,0:100:0:0,
48:1:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,24:24:0:0,0:0:0:0,0:0:0:0,48:1:0:0,0:0:16:270,48:1:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:50:45,0:0:0:0,2:17:58:135,4:17:58:135,8:17:62:45,48:1:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,48:1:0:0,0:100:0:0,
48:1:0:0,0:0:0:0,0:0:0:0,0:0:27:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:37:0,0:0:0:0,0:0:19:135,0:0:0:0,0:0:19:135,0:0:0:0,24:24:0:0,36:17:0:0,24:24:0:0,0:0:0:0,48:1:0:0,24:10:13:0,48:1:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:19:135,0:0:0:0,0:0:0:0,2:17:0:0,4:17:58:135,48:1:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,48:1:0:0,0:100:0:0,
48:1:0:0,0:0:0:0,0:0:50:0,0:0:24:0,0:0:50:0,0:0:0:0,0:0:37:0,12:15:30:0,0:0:37:0,0:0:35:0,0:0:16:135,0:0:1:0,0:0:0:0,0:0:0:0,24:24:0:0,0:0:0:0,0:0:0:0,48:1:0:0,0:0:49:45,48:1:0:0,0:0:0:0,0:0:0:0,0:0:37:135,24:18:0:0,0:0:37:135,0:0:0:0,0:0:0:0,2:17:58:135,48:1:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,48:1:0:0,0:100:0:0,
48:1:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:37:0,0:0:0:0,0:0:0:0,0:0:19:135,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,48:1:0:0,24:11:14:0,48:1:0:0,0:0:0:0,0:0:36:135,24:18:0:0,48:27:0:0,24:18:0:0,0:0:36:135,0:0:0:0,0:0:0:0,48:1:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,48:1:0:0,0:100:0:0,
48:1:0:0,0:0:0:0,0:0:0:0,0:0:18:90,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,72:1:0:0,0:0:47:0,48:1:0:0,0:0:45:270,48:1:0:0,0:0:0:0,0:0:0:0,0:0:37:135,24:18:0:0,0:0:37:135,0:0:0:0,0:0:0:0,0:0:0:0,48:1:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,48:1:0:0,0:100:0:0,
48:1:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,72:1:0:0,64:17:0:0,72:1:0:0,48:1:0:0,24:12:15:0,48:1:0:0,0:0:0:0,0:0:2:270,0:0:0:0,0:0:18:135,0:0:31:0,0:0:0:0,0:0:0:0,0:0:2:0,48:1:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,48:1:0:0,0:100:0:0,
48:1:0:0,0:0:0:0,0:0:0:0,0:0:20:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:62:270,0:0:0:0,0:0:0:0,0:0:0:0,60:1:0:0,52:17:0:0,60:1:0:0,48:1:0:0,0:0:58:270,48:1:0:0,0:0:0:0,0:0:31:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:3:0,48:1:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,48:1:0:0,0:100:0:0,
48:1:0:0,48:1:0:0,48:1:0:0,48:1:11:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,40:17:0:0,48:1:0:0,48:1:0:0,0:0:19:270,48:1:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:19:180,0:0:61:45,48:1:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,48:1:0:0,0:100:0:0,
48:1:0:0,0:0:0:0,0:0:0:0,0:0:37:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:2:0,0:0:2:0,0:0:2:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:19:315,0:0:51:45,0:0:19:225,0:0:0:0,0:0:0:0,24:4:20:270,0:0:0:0,0:0:0:0,0:0:0:0,48:17:0:0,0:0:61:45,48:1:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,48:1:0:0,0:100:0:0,
48:1:0:0,0:0:31:0,0:0:56:0,0:0:37:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:19:0,0:0:0:0,0:0:31:0,36:24:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,36:24:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,24:4:20:270,5:15:60:270,24:4:20:270,0:0:2:270,0:0:0:0,0:0:19:180,0:0:3:0,48:1:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,48:1:0:0,0:100:0:0,
48:1:0:0,0:0:61:270,0:0:18:0,0:0:37:0,0:0:0:0,0:0:0:0,0:0:29:0,0:0:0:0,0:0:58:0,0:0:0:0,36:24:0:0,48:15:0:0,36:24:17:0,0:0:0:0,0:0:0:0,36:24:0:0,48:16:0:0,36:24:0:0,0:0:29:0,0:0:0:0,0:0:31:0,0:0:0:0,24:4:20:270,0:0:0:0,0:0:0:0,0:0:31:0,0:0:0:0,0:0:2:0,48:1:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,48:1:0:0,0:100:0:0,
48:1:0:0,0:0:29:0,0:0:56:0,0:0:19:0,0:0:0:0,0:0:0:0,12:24:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,36:24:0:0,0:0:2:0,0:0:0:0,0:0:0:0,0:0:0:0,36:24:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,48:1:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,48:1:0:0,0:100:0:0,
48:1:0:0,0:0:25:0,0:0:45:0,0:0:0:0,0:0:0:0,12:24:0:0,48:17:0:0,12:24:0:0,0:0:58:0,0:0:0:0,0:0:0:0,0:0:2:0,36:24:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:16:270,48:17:0:0,0:0:16:270,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,48:1:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,48:1:0:0,0:100:0:0,
48:1:0:0,0:0:29:0,0:0:56:0,0:0:19:0,0:0:0:0,0:0:0:0,12:24:0:0,0:0:0:0,0:0:19:0,0:0:0:0,0:0:0:0,36:24:0:0,48:15:0:0,36:24:0:0,0:0:62:270,0:0:0:0,0:0:58:270,0:0:0:0,0:0:45:270,0:0:0:0,0:0:58:270,0:0:0:0,0:0:2:270,0:0:0:0,0:0:57:0,48:1:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,48:1:0:0,0:100:0:0,
