Map08: The Dark Warehouse
8:80:5000:level8:2:6
24:1:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:1:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,48:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
24:21:0:0:0,0:0:0:0:0,18:21:0:0:0,8:21:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,18:21:0:0:0,1:25:0:0:0,2:25:0:0:0,2:25:0:0:0,2:25:0:0:0,1:25:0:0:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:3:0:0,0:0:36:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:43:0:0,48:21:0:0:0,0:0:0:0:0,0:0:0:0:0,24:2:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
24:21:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:49:0:0,6:21:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:19:225:0,0:0:0:0:0,12:21:0:0:0,0:0:0:0:0,16:21:0:0:0,2:25:38:270:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:19:270:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,10:21:0:0:0,0:0:45:225:0,0:0:0:0:0,0:0:42:0:0,48:21:0:0:0,24:2:0:0:0,24:2:0:0:0,8:5:0:0:0,24:2:0:0:0,24:2:0:0:0,24:2:0:0:0,24:2:0:0:0,24:2:0:0:0,24:2:0:0:0,24:2:0:0:0,24:2:0:0:0,24:2:0:0:0,24:2:0:0:0,24:2:0:0:0,24:18:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
24:21:0:0:0,0:0:32:0:0,0:0:19:225:0,4:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:29:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:17:180:0,12:21:4:0:0,0:0:17:180:0,0:0:0:0:0,12:21:0:0:0,0:0:40:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,16:21:0:0:0,0:0:0:0:0,0:0:0:0:0,6:21:0:0:0,0:0:61:0:0,0:0:16:135:0,0:0:0:0:0,0:0:0:0:0,48:21:0:0:0,0:0:3:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,20:27:0:0:0,0:0:29:0:0,20:27:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:58:135:0,24:18:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
24:21:0:0:0,0:0:32:0:0,0:0:0:0:0,1:16:22:0:0,0:0:2:0:0,18:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:29:0:0,0:0:0:0:0,20:21:0:0:0,0:0:50:0:0,12:21:0:0:0,0:0:2:0:0,0:0:0:0:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,48:21:0:0:0,0:0:58:90:0,24:3:0:0:0,0:0:19:270:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:31:0:0,0:0:29:0:0,20:22:0:0:0,20:22:0:0:0,20:22:0:0:0,0:0:16:270:0,0:0:0:0:0,24:18:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
24:21:0:0:0,0:0:32:0:0,16:21:0:0:0,2:16:22:0:0,1:16:22:0:0,0:0:0:0:0,0:0:3:0:0,12:21:0:0:0,12:21:0:0:0,0:0:2:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:16:180:0,12:21:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:2:0:0,48:21:29:0:0,0:0:0:0:0,0:0:29:0:0,48:27:0:0:0,0:0:29:0:0,0:0:17:180:0,24:24:0:0:0,0:0:0:0:0,0:0:31:0:0,0:0:0:0:0,20:7:11:0:0,0:0:6:0:0,0:0:19:180:0,20:22:0:0:0,0:0:0:0:0,24:18:0:0:0,24:23:0:0:0,24:23:0:0:0,24:23:0:0:0,24:23:0:0:0,24:23:0:0:0,0:100:0:0:0,
24:21:0:0:0,0:0:32:0:0,0:0:0:0:0,4:16:22:0:0,2:16:22:0:0,1:16:22:0:0,12:21:0:0:0,0:0:16:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,12:21:0:0:0,0:0:19:225:0,12:21:0:0:0,0:0:34:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:29:0:0,12:21:0:0:0,0:0:19:270:0,18:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:19:0:0,0:0:36:0:0,48:10:13:0:0,0:0:58:180:0,0:0:0:0:0,0:0:50:0:0,0:0:16:180:0,24:24:0:0:0,48:17:0:0:0,24:24:0:0:0,0:0:31:0:0,0:0:29:0:0,20:22:0:0:0,20:22:0:0:0,20:22:0:0:0,0:0:16:0:0,0:0:0:0:0,24:11:14:0:0,0:0:37:0:0,0:0:37:0:0,0:0:37:0:0,0:0:37:0:0,12:6:53:270:0,0:100:0:0:0,
24:21:0:0:0,0:0:32:0:0,24:21:0:0:0,4:16:22:0:0,4:16:22:0:0,2:16:22:0:0,1:16:22:0:0,12:21:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:0:0:0,6:21:0:0:0,12:21:0:0:0,0:0:61:0:0,0:0:0:0:0,12:21:0:0:0,0:0:0:0:0,0:0:29:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:56:0:0,12:21:0:0:0,0:0:36:0:0,48:21:29:0:0,0:0:0:0:0,0:0:29:0:0,48:27:0:0:0,0:0:29:0:0,0:0:17:180:0,24:24:0:0:0,0:0:0:0:0,0:0:31:0:0,0:0:0:0:0,20:7:11:0:0,0:0:28:0:0,0:0:19:180:0,20:22:0:0:0,0:0:0:0:0,24:18:0:0:0,24:23:0:0:0,24:23:0:0:0,24:23:0:0:0,24:23:0:0:0,24:23:0:0:0,0:100:0:0:0,
24:21:0:0:0,0:0:32:0:0,0:0:19:225:0,4:16:22:0:0,2:16:22:0:0,12:21:0:0:0,0:0:0:0:0,0:0:28:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:29:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:61:180:0,0:0:0:0:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,6:21:0:0:0,0:0:62:0:0,0:0:0:0:0,0:0:36:0:0,48:21:0:0:0,0:0:58:270:0,24:3:0:0:0,0:0:19:90:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:31:0:0,0:0:29:0:0,20:22:0:0:0,20:22:0:0:0,20:22:0:0:0,0:0:16:90:0,0:0:0:0:0,24:18:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
24:21:0:0:0,12:21:0:0:0,0:0:29:0:0,2:16:22:0:0,1:16:22:0:0,0:0:19:225:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:29:0:0,0:0:0:0:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:19:270:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:36:0:0,48:21:0:0:0,0:0:3:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,20:27:0:0:0,0:0:29:0:0,20:27:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:58:225:0,24:18:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
24:21:0:0:0,0:0:38:0:0,0:0:0:0:0,1:16:22:0:0,0:0:2:180:0,12:21:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:19:90:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,18:21:0:0:0,18:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,10:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,12:21:0:0:0,0:0:19:270:0,48:21:0:0:0,24:2:0:0:0,24:2:0:0:0,8:5:0:0:0,24:2:0:0:0,24:2:0:0:0,24:2:0:0:0,24:2:0:0:0,24:2:0:0:0,24:2:0:0:0,24:2:0:0:0,24:2:0:0:0,24:2:0:0:0,24:2:0:0:0,24:2:0:0:0,24:18:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
24:21:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,18:21:0:0:0,18:21:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:19:270:0,12:21:0:0:0,0:0:28:0:0,0:0:0:0:0,0:0:58:270:0,0:0:0:0:0,0:0:0:0:0,0:0:58:270:0,0:0:0:0:0,0:0:0:0:0,0:0:29:0:0,12:21:0:0:0,48:21:0:0:0,0:0:0:0:0,0:0:0:0:0,24:2:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
24:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:50:0:0,12:21:0:0:0,0:0:0:0:0,0:0:58:135:0,0:0:0:0:0,0:0:0:0:0,0:0:18:180:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
24:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:29:0:0,10:21:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,10:21:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:58:270:0,0:0:61:180:0,0:0:18:270:0,18:21:0:0:0,0:0:0:0:0,0:0:0:0:0,48:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
24:21:0:0:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:2:0:0,0:0:0:0:0,0:0:0:0:0,0:0:56:0:0,12:21:0:0:0,0:0:56:0:0,0:0:0:0:0,12:21:0:0:0,0:0:2:0:0,10:21:0:0:0,0:0:0:0:0,0:0:18:270:0,0:0:0:0:0,0:0:1:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
24:21:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:0:0:0,24:21:0:0:0,0:0:0:0:0,6:21:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:18:180:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:18:180:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:0:0:0,48:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
