Map 03: The Electric Asylum
3:60:50000:level3
60:15:0:0,60:15:0:0,60:15:0:0,60:15:0:0,60:15:0:0,60:15:0:0,60:15:0:0,60:15:0:0,60:15:0:0,60:15:0:0,60:15:0:0,60:15:0:0,60:15:0:0,0:0:0:0,0:0:0:0,12:15:0:0,12:15:0:0,12:16:0:0,12:15:0:0,12:15:0:0,24:15:0:0,12:16:0:0,12:18:0:0,24:19:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,0:0:43:0,0:0:16:180,0:0:0:0,0:0:0:0,0:0:58:225,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,3:19:44:0,0:16:22:0,0:16:22:315,0:16:22:0,0:16:22:0,0:16:22:0,0:16:22:0,0:16:22:0,0:16:22:0,0:17:23:0,0:17:6:0,12:18:29:0,0:100:0:0,
60:15:0:0,0:0:37:0,0:0:0:0,0:0:0:0,0:0:29:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,60:15:0:0,0:16:22:0,0:16:30:0,0:16:22:0,0:16:22:0,0:16:22:0,0:16:22:0,0:16:22:0,0:16:22:0,0:17:23:0,0:17:23:0,12:1:0:0,0:100:0:0,
60:15:0:0,24:4:0:0,24:4:0:0,24:7:11:0,24:15:0:0,12:4:0:0,0:0:44:0,12:7:0:0,24:15:0:0,12:1:0:0,12:1:0:0,12:1:0:0,0:0:0:0,0:0:0:0,60:15:0:0,12:19:0:0,12:15:0:0,12:18:0:0,12:16:0:0,12:18:0:0,12:16:0:0,0:16:22:0,0:16:22:0,12:17:0:0,12:17:0:0,12:1:0:0,0:100:0:0,
60:15:0:0,0:0:0:0,0:0:0:0,0:0:19:270,24:15:0:0,0:0:19:90,2:4:44:0,0:0:3:0,24:3:0:0,0:0:16:0,0:0:3:0,12:7:11:315,0:0:0:0,0:0:0:0,60:15:0:0,0:0:0:0,0:0:0:0,0:0:17:270,0:0:0:0,0:0:17:270,0:0:0:0,12:18:29:0,12:16:29:0,0:0:0:0,0:0:0:0,0:0:17:225,0:100:0:0,
60:15:0:0,0:0:0:0,0:0:0:0,0:0:0:0,24:15:0:0,0:0:0:0,0:0:0:0,0:0:0:0,24:3:0:0,12:4:20:270,12:4:20:270,12:1:0:0,0:0:0:0,0:0:0:0,12:5:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:17:270,0:0:17:270,0:0:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,0:0:0:0,0:0:0:0,0:0:0:0,24:15:0:0,0:0:0:0,0:0:44:0,0:0:0:0,24:1:0:0,0:0:19:0,0:0:25:0,12:7:11:315,0:0:0:0,0:0:0:0,12:5:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,0:0:47:0,0:0:36:0,0:0:33:0,24:15:0:0,0:0:0:0,0:0:36:0,0:0:44:0,24:1:0:0,12:4:20:270,12:4:20:270,12:1:0:0,0:0:0:0,0:0:0:0,24:15:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,0:0:58:270,0:0:0:0,0:0:16:270,24:15:0:0,0:0:44:0,0:0:0:0,0:0:0:0,24:18:0:0,0:0:58:0,0:0:27:0,12:7:11:315,0:0:0:0,0:0:16:90,12:15:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,0:0:0:0,0:0:0:0,0:0:0:0,24:15:0:0,12:18:0:0,0:0:0:0,0:0:36:0,24:18:0:0,12:4:20:270,12:4:20:270,12:1:0:0,0:0:0:0,0:0:36:0,24:15:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,0:0:37:0,0:0:0:0,0:0:37:0,24:15:0:0,0:0:16:0,0:0:31:0,0:0:44:0,12:1:0:0,0:0:16:0,0:0:37:0,12:7:11:315,0:0:16:0,0:0:32:0,12:15:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,0:0:42:0,0:0:16:270,0:0:43:0,24:15:0:0,0:0:2:0,0:0:55:0,0:0:29:0,12:3:0:0,12:1:0:0,12:1:0:0,12:1:0:0,0:0:0:0,0:0:32:0,24:15:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,24:4:0:0,24:15:0:0,24:15:0:0,24:15:0:0,24:18:0:0,24:1:11:0,24:18:0:0,24:1:0:0,0:0:33:0,0:0:32:0,0:0:32:0,0:0:0:0,0:0:36:0,12:15:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,0:0:35:0,0:0:37:0,0:0:0:0,24:1:0:0,24:1:0:0,0:0:20:0,0:0:37:0,24:1:0:0,0:0:18:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:32:0,24:15:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,0:0:27:0,0:0:37:0,0:0:0:0,24:1:0:0,24:1:0:0,0:0:36:0,0:0:16:225,24:1:0:0,24:1:0:0,24:1:0:0,0:0:0:0,0:0:0:0,0:0:29:0,12:15:0:0,0:0:0:0,0:0:0:0,0:0:0:0,72:18:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,0:0:37:0,0:0:37:0,0:0:20:0,24:1:11:0,0:0:0:0,24:1:0:0,24:1:11:0,24:1:0:0,0:0:29:0,24:1:0:0,24:11:14:0,24:1:0:0,24:1:0:0,24:15:0:0,12:15:0:0,12:15:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,18:18:0:0,18:18:0:0,24:1:0:0,24:1:0:0,0:0:37:0,0:0:0:0,0:0:20:0,0:0:0:0,0:0:37:0,24:1:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:16:180,12:15:0:0,0:0:0:0,0:0:0:0,0:0:0:0,72:2:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,0:0:0:0,0:0:0:0,0:0:0:0,24:1:0:0,0:0:16:315,0:0:0:0,0:0:0:0,0:0:0:0,0:0:16:225,18:18:0:0,0:0:0:0,0:0:37:0,0:0:16:225,0:0:0:0,0:0:0:0,12:15:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,0:0:0:0,0:0:0:0,0:0:0:0,18:18:0:0,0:0:29:0,0:0:39:0,0:0:21:0,0:0:1:0,0:0:29:0,24:1:0:0,0:0:32:0,0:0:0:0,0:0:0:0,3:15:0:0,0:0:0:0,12:15:0:0,60:15:0:0,0:0:20:0,12:20:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,0:0:0:0,0:0:0:0,0:0:0:0,24:1:0:0,18:18:0:0,24:1:0:0,24:1:0:0,18:18:0:0,24:1:0:0,24:1:0:0,0:0:32:0,0:0:58:270,0:0:0:0,0:0:36:0,0:0:17:225,12:18:0:0,60:13:0:0,0:0:0:0,0:0:0:0,12:20:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,0:0:0:0,0:0:0:0,0:0:0:0,12:3:0:0,0:0:29:0,0:0:42:0,0:0:32:0,0:0:32:0,0:0:30:0,24:1:0:0,0:0:32:0,0:0:0:0,0:0:0:0,6:15:0:0,0:0:2:0,12:18:0:0,60:15:0:0,0:0:24:0,0:0:0:0,0:0:27:0,12:14:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,0:0:0:0,60:17:0:0,0:0:0:0,18:1:0:0,0:0:58:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,24:1:0:0,0:0:21:0,0:0:0:0,0:0:37:0,0:0:36:0,0:0:17:225,12:13:0:0,60:15:0:0,0:0:0:0,0:0:0:0,12:20:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,60:17:0:0,72:16:0:0,60:17:0:0,24:3:0:0,0:0:58:0,0:0:0:0,0:0:21:0,0:0:2:0,0:0:0:0,24:1:0:0,0:0:0:0,0:0:0:0,0:0:0:0,9:15:0:0,0:0:0:0,12:15:0:0,0:0:0:0,60:15:0:0,12:20:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,0:0:0:0,60:17:0:0,0:0:0:0,30:1:0:0,0:0:37:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,24:4:20:180,0:0:0:0,0:0:31:0,0:0:0:0,0:0:36:0,0:0:0:0,12:15:0:0,8:1:0:0,4:1:0:0,60:15:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,0:0:0:0,0:0:0:0,0:0:0:0,36:18:0:0,0:0:34:0,0:0:18:180,4:5:38:0,0:0:0:0,0:0:0:0,24:4:20:180,0:0:0:0,0:0:19:270,0:0:0:0,12:15:0:0,0:0:0:0,12:15:0:0,0:0:0:0,0:0:0:0,60:15:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,0:0:0:0,0:0:0:0,0:0:0:0,30:1:0:0,0:0:37:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,24:7:11:0,0:0:0:0,0:0:0:0,0:0:31:270,0:0:36:0,0:0:0:0,12:15:0:0,48:3:0:0,0:0:0:0,60:15:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,0:0:0:0,72:18:0:0,0:0:0:0,24:3:0:0,0:0:58:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,24:4:20:180,0:0:31:270,0:0:0:0,0:0:0:0,15:15:5:0,0:0:40:0,12:5:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,0:0:0:0,0:0:0:0,0:0:0:0,18:1:0:0,0:0:58:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,24:4:20:180,0:0:0:0,0:0:31:270,0:0:0:0,0:0:27:0,0:0:0:0,12:5:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,0:0:0:0,0:0:0:0,0:0:0:0,12:3:0:0,0:0:29:0,0:0:38:0,0:0:38:0,0:0:38:0,0:0:30:0,24:1:0:0,0:0:29:0,0:0:0:0,0:0:0:0,0:0:31:270,0:0:29:0,12:2:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,0:0:0:0,0:0:0:0,0:0:0:0,60:15:0:0,60:15:0:0,60:15:0:0,60:15:0:0,60:15:0:0,60:15:0:0,60:15:0:0,60:15:0:0,60:15:0:0,60:15:0:0,60:15:0:0,60:15:0:0,60:15:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
